,mode,opurp,travday,tripno,vocc,bridge1,bridge2,county,workcnty,business,occuptn,vehicle,hour,hour_sin,hour_cos,target,otime
57684,1,2,4,2,1,0,0,3,9999999,8,1,3,11,0.258819045102521,-0.9659258262890682,4.31748811353631,1175
57688,1,2,5,2,1,0,0,3,9999999,9,3,1,18,-1.0,-1.8369701987210297e-16,3.7376696182833684,1858
57690,1,2,5,2,1,0,0,3,9999999,9,4,2,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1750
57692,1,2,1,2,1,0,0,3,3,5,10,1,16,-0.8660254037844384,-0.5000000000000004,3.4965075614664802,1600
57694,1,4,1,2,1,0,0,3,9999999,7,4,1,19,-0.9659258262890684,0.2588190451025203,3.2188758248682006,1950
57696,1,2,1,2,1,0,0,3,9999999,4,11,2,17,-0.9659258262890683,-0.25881904510252063,4.605170185988092,1700
57706,1,2,2,3,1,0,0,3,9999999,9,5,1,11,0.258819045102521,-0.9659258262890682,3.4965075614664802,1100
57709,1,10,4,3,1,0,0,3,9999999,9999999,9999999,1,12,1.2246467991473532e-16,-1.0,3.2188758248682006,1225
57716,1,2,4,5,1,0,0,3,9999999,7,1,0,16,-0.8660254037844384,-0.5000000000000004,3.713572066704308,1675
57723,1,6,5,7,1,0,0,3,9999999,4,3,1,17,-0.9659258262890683,-0.25881904510252063,4.110873864173311,1785
57744,1,3,2,7,1,0,0,3,3,9,4,1,16,-0.8660254037844384,-0.5000000000000004,3.4011973816621555,1620
57750,2,7,2,3,2,0,0,3,9999999,9999999,9999999,0,12,1.2246467991473532e-16,-1.0,3.2188758248682006,1250
57752,1,11,2,2,1,0,0,3,9999999,9999999,9999999,4,14,-0.4999999999999998,-0.8660254037844388,3.2188758248682006,1433
57754,1,11,3,2,1,0,0,3,9999999,9999999,9999999,1,12,1.2246467991473532e-16,-1.0,3.2188758248682006,1200
57756,1,2,3,4,1,0,0,3,9999999,9999999,9999999,1,21,-0.7071067811865477,0.7071067811865474,3.4011973816621555,2153
57762,1,2,1,4,1,0,0,3,9999999,9,3,1,18,-1.0,-1.8369701987210297e-16,3.828641396489095,1850
57771,1,2,3,2,1,0,0,3,3,0,8,1,15,-0.7071067811865471,-0.7071067811865479,3.4965075614664802,1550
57776,1,2,5,2,1,0,0,3,3,9,2,1,16,-0.8660254037844384,-0.5000000000000004,4.605170185988092,1600
57778,2,7,5,4,1,0,0,3,3,9,2,1,20,-0.8660254037844386,0.5000000000000001,3.2188758248682006,2025
57780,1,2,5,2,1,0,0,3,9999999,4,3,1,17,-0.9659258262890683,-0.25881904510252063,3.2188758248682006,1725
57782,1,7,5,4,2,0,0,3,9999999,4,3,1,20,-0.8660254037844386,0.5000000000000001,3.2188758248682006,2025
57792,1,3,4,10,1,0,0,3,3,9,8,1,12,1.2246467991473532e-16,-1.0,3.5553480614894135,1253
57803,1,8,5,6,2,0,0,3,9999999,5,5,1,19,-0.9659258262890684,0.2588190451025203,4.8283137373023015,1975
57805,5,2,1,2,1,0,0,3,3,7,1,1,17,-0.9659258262890683,-0.25881904510252063,3.2188758248682006,1750
57807,1,2,1,2,1,0,0,3,3,1,1,2,18,-1.0,-1.8369701987210297e-16,3.4965075614664802,1800
57810,1,11,3,3,1,0,0,3,4,3,13,1,21,-0.7071067811865477,0.7071067811865474,3.7376696182833684,2116
57812,1,2,5,2,1,0,0,3,9999999,4,3,1,19,-0.9659258262890684,0.2588190451025203,3.912023005428146,1900
57815,1,4,2,3,1,0,0,3,3,9,8,1,13,-0.2588190451025208,-0.9659258262890683,3.2188758248682006,1300
57820,1,3,5,5,1,0,0,3,9999999,9,1,4,11,0.258819045102521,-0.9659258262890682,3.2188758248682006,1125
57822,1,2,5,2,1,0,0,3,3,9,8,5,15,-0.7071067811865471,-0.7071067811865479,4.060443010546419,1500
57826,1,2,5,4,2,0,0,3,3,9,1,1,18,-1.0,-1.8369701987210297e-16,3.5263605246161616,1866
57828,1,10,5,6,4,0,0,3,3,9,1,1,20,-0.8660254037844386,0.5000000000000001,3.5263605246161616,2066
